idade,frequencia,nota_media,situacao_socioeconomica,distancia_escola,evasao
12,73,8.5,alta,2,0
9,83,6.8,baixa,17,0
16,59,7.1,baixa,11,0
13,94,5.1,baixa,19,0
10,50,8.3,baixa,15,0
12,84,9.4,alta,4,0
15,90,4.4,baixa,11,0
8,75,5.8,baixa,9,0
12,53,4.8,baixa,5,0
16,80,4.2,media,5,0
16,54,4.5,media,4,0
13,72,6.1,media,10,0
10,83,7.3,alta,9,0
9,64,4.2,baixa,14,1
13,52,6.0,baixa,12,0
13,68,7.4,baixa,2,0
8,92,7.2,baixa,11,0
11,88,9.7,media,17,0
10,88,8.9,baixa,13,1
7,76,9.7,baixa,4,0
13,71,6.2,media,1,0
17,98,7.0,alta,12,0
11,64,7.8,alta,4,0
7,89,9.0,baixa,15,1
17,91,4.2,baixa,9,0
10,64,7.4,baixa,5,0
6,81,7.2,baixa,10,0
17,80,5.5,baixa,13,0
15,88,4.6,alta,9,0
11,66,6.3,alta,13,0
17,62,8.7,media,11,1
14,87,8.0,alta,17,0
6,86,4.9,media,18,0
16,65,6.5,baixa,14,0
16,77,5.1,alta,7,0
15,83,4.6,media,17,0
17,81,5.2,baixa,10,1
17,73,8.4,baixa,8,0
8,86,7.7,media,4,0
17,54,4.8,baixa,10,0
12,93,8.5,baixa,16,0
9,72,7.6,baixa,18,0
14,99,8.5,baixa,6,0
8,70,5.2,media,14,0
10,50,5.0,baixa,19,0
8,62,6.8,baixa,18,0
12,93,4.3,baixa,17,1
10,57,8.2,media,5,0
14,50,7.7,media,7,0
12,64,5.3,baixa,6,0
7,59,8.9,alta,9,0
9,50,7.6,alta,16,0
14,63,5.0,media,13,0
17,94,6.8,baixa,9,0
7,91,7.6,baixa,14,0
15,86,7.7,media,8,0
14,90,5.5,baixa,3,0
15,95,6.0,baixa,8,0
10,70,4.6,media,12,0
7,50,6.1,alta,9,0
9,96,6.2,baixa,6,0
17,76,6.4,baixa,8,0
17,80,4.5,alta,12,1
12,56,8.7,baixa,12,0
17,67,6.8,alta,8,0
13,85,6.9,media,8,0
8,73,4.9,media,19,0
6,87,9.8,alta,19,0
9,84,5.2,alta,2,1
7,53,5.0,media,18,0
13,51,9.2,baixa,10,0
9,84,9.4,alta,19,1
7,67,5.1,media,7,0
11,51,8.8,baixa,11,0
11,76,4.2,baixa,7,0
15,89,6.7,media,16,0
9,56,4.1,media,3,1
11,90,6.0,baixa,17,0
7,80,9.6,baixa,8,1
15,90,7.0,baixa,3,0
17,83,4.4,baixa,7,0
7,56,6.8,alta,3,0
15,94,4.6,media,14,1
9,78,9.6,alta,7,0
13,57,4.2,baixa,2,0
12,82,7.4,alta,18,0
17,52,4.5,alta,11,1
14,89,6.0,alta,15,0
13,81,8.4,baixa,13,0
10,68,7.7,baixa,4,1
7,53,5.9,alta,16,0
10,59,4.5,media,13,0
13,67,9.6,alta,7,1
15,68,7.6,alta,15,0
14,61,9.4,media,4,0
17,60,8.4,baixa,14,0
17,81,6.4,baixa,19,1
17,55,9.5,baixa,13,0
14,87,4.5,baixa,2,0
6,77,5.2,media,11,0
14,75,8.0,baixa,6,0
12,57,9.6,media,5,0
